timestamp_ms,temp,hum,pres,gas_kohm,label
8799,20.21,20.02,1026.01,36.3,normal
10207,20.09,19.99,1026.02,42.91,normal
11616,20.03,19.95,1026.02,49.32,normal
13025,19.99,19.89,1026.02,53.96,normal
14434,19.98,19.85,1026.02,58.35,normal
15843,19.97,19.81,1026.01,61.82,normal
17252,19.98,19.78,1026.01,64.53,normal
18661,19.99,19.74,1026.01,67.28,normal
20070,20,19.71,1026,69.41,normal
21479,20.01,19.66,1026.01,71.39,normal
22888,20.02,19.63,1026.01,73.16,normal
24297,20.04,19.59,1026.02,74.83,normal
25706,20.05,19.58,1026.01,75.9,normal
27115,20.06,19.57,1026.02,77.48,normal
28524,20.07,19.58,1026.02,78.05,normal
29933,20.09,19.59,1026.02,79.35,normal
31342,20.1,19.6,1026.02,80.1,normal
32751,20.11,19.6,1026.02,81.01,normal
34160,20.12,19.61,1026.02,81.55,normal
35569,20.13,19.61,1026.01,82.58,normal
36978,20.14,19.61,1026.01,83.14,normal
38387,20.15,19.62,1026.02,83.31,normal
39796,20.16,19.65,1026.02,83.96,normal
41205,20.17,19.69,1026.02,84.8,normal
42614,20.18,19.74,1026.03,84.63,normal
44023,20.18,19.8,1026.03,85.13,normal
45432,20.19,19.84,1026.04,85.99,normal
46841,20.2,19.88,1026.04,85.91,normal
48250,20.2,19.9,1026.04,86.87,normal
49659,20.21,19.92,1026.05,86.78,normal
51068,20.21,19.93,1026.04,87.04,normal
52477,20.22,19.95,1026.04,87.49,normal
53886,20.22,19.95,1026.04,88.21,normal
55295,20.23,19.95,1026.03,88.4,normal
56704,20.23,19.95,1026.03,89.32,normal
58113,20.23,19.94,1026.03,89.04,normal
59522,20.23,19.91,1026.02,89.42,normal
60931,20.23,19.87,1026.02,90.27,normal
62340,20.23,19.84,1026.01,90.17,normal
63749,20.23,19.82,1026.01,90.17,normal
65158,20.23,19.79,1026.01,90.65,normal
66567,20.23,19.78,1026.02,91.14,normal
67976,20.23,19.76,1026.01,91.14,normal
69385,20.24,19.76,1026.01,91.72,normal
70794,20.24,19.75,1026.01,91.92,normal
